2018年二季度治安副所长业绩排序,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,反邪教工作2分,重点人员管控5.5分,涉稳人员信息采集率和涉稳警情信息合格率最高的单位各得0.5分，其它按比例得分；,涉黑涉恶类案件逮捕、直诉达到目标值得3分，每超过1人加0.5分，加分不封顶，不完成按比例得分，扣完3分为止,"经侦追逃
每抓获1名境外新增逃犯或协助检察机关每抓获1名职务犯罪境外逃犯得2分","刑侦追逃完成得1分，
超1人得0.5分，合计最高得3分",涉娼涉赌逮捕、直诉人员数每完成1人得0.5分，最高得3分,食药环逮捕、直诉人员数每完成1人得0.75分，加分不封顶，不完成不得分,涉毒逮捕、直诉达到目标数得3分，每超1人加0.5分，最高加2分，不完成的按比例得分,扫毒专项行动4分,社区工作考核4分,年内各单位110接报盗窃、诈骗、抢夺、抢劫和敲诈勒索等5类侵财警情占110接报的违法犯罪警情的比重，不高于去年得1分，每升降1个百分点分别加减0.1分，加满0.5分为止，扣完1分为止,110接报扒窃、盗窃手机类警情下降得0.5分，与一季度环比每升降1个百分点加减0.05分，加满1分为止，扣完1分为止,110接报盗窃电动车、自行车类警情与一季度环比下降得0.5分，升降1个百分点加减0.05分，加满1分为止，扣完1分为止,110接报盗窃民宅类警情与一季度环比下降得0.5分，每升降1个百分点加减0.05分，加满1分为止，扣完1分为止,年内各单位立侵财案件较上年同比下降得1分，每升降1个百分点分别加减0.05分，加满1分为止，扣完1分为止,社区保安力量建设0.5分,居住证信息采集比对1.5分，比中率最高得1.5分，其它按比例得分,巡逻盘查信息采集比对0.5分，百警比中数最高得0.5分，其它按比例得分,旅馆住宿登记信息比对0.75分，比中率最高得0.75分，其它按比例得分,网吧上网登记信息比对0.75分，比中率最高得0.75分，其它按比例得分,巡防质效3分,入所审查人数最高的得0.2分，其它按比例得分,管控吸毒人员因侵财刑事案件被逮捕、直诉或涉艾侵财犯罪嫌疑人被医院鉴定关押的，完成1人得0.75分，最高2分,警卫、安保执勤、维稳由治安大队、维稳办依据考核方案最高单位分别得0.5分，其他按比例得分,,微警自助报警备案占110接报六类警情绝对数最高得0.5分，其它按比例得分,接受微警登记后立治安、刑事案件被破获，按百警比中率绝对数最高得0.5分，其它按比例得分,图侦会战2分,社区消防监督管理1分,治安乱点、重点场所打击整治工作2分,基础创新项目工作3分,"社区民警每周完成20户得1分少一户扣0.05分,新入户登记人员未入户调查每发现一起扣0.02分，扣完1分为止","电话回访
熟悉率最高得1分，其它按比例得分",微信办户口最高得1分，其它按比例得分,110接处警满意度98%的得2分，每超0.01个百分点的加0.05分，每少0.01个百分点的减0.05分,社会治安满意度电话回访最高得1分，其它按比例得分,社区侵财性案件零发案或者发案后100%回访的得1分。其余单位按本派出所实际回访数/应回访数×1分计分,短信平台发送安全防范信息量最高得0.5分，其它按比例得分,社区民警“站高峰”在岗率0.5分，全部在位的得基本分0.5分，发现不在位的每次扣0.1分,公安队伍满意度最高得2分，其它按比例得分,信息采集会战得分（折算10分计）
本项最总分,,2,5.5,1,6,2,3,3,1.5,5,4,4,1.5,1,1,1,2,0.5,1.5,0.5,0.75,0.75,3,0.2,2,0.5,0.5,0.5,0.5,2,1,2,3 ,1,1,1,3,1,1,0.5,1,2,10.00 
单位,分管领导,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0派出所,c01,0,2,1.0 ,不分管,不分管,不分管,不分管,不分管,不分管,不分管,3.430 ,0.712 ,1.000 ,0.000 ,1.000 ,不分管,0.300 ,0.400 ,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,1.000 ,不分管,3.000 ,1,0.96,0.18,不分管,1,1,0.47,1,不分管,不分管
A0派出所,c02,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,5.0 ,3.520 ,不分管,0.712 ,1.000 ,0.000 ,1.000 ,不分管,不分管,不分管,0.000 ,0.320 ,0.520 ,1.230 ,不分管,不分管,0.400 ,0.450 ,不分管,不分管,不分管,不分管,0.150 ,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管
A1派出所,c11,不分管,不分管,不分管,6 ,不分管,0,1,0,不分管,3.650 ,不分管,1.128 ,1.000 ,1.000 ,1.000 ,不分管,0.300 ,不分管,不分管,0.640 ,0.650 ,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,3.000 ,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,8.68
A1派出所,c12,不分管,2,1,不分管,不分管,不分管,不分管,不分管,不分管,不分管,3.170 ,1.128 ,1.000 ,1.000 ,1.000 ,1.950 ,不分管,1.370 ,2.900 ,不分管,不分管,1.856 ,不分管,不分管,0.400 ,0.450 ,0.460 ,不分管,不分管,1.000 ,0.150 ,3.000 ,1,0.97,0.61,2.63,0.94,1,0.44,1,不分管,8.68
A2派出所,c21,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,1.403 ,1.000 ,1.000 ,1.000 ,不分管,不分管,不分管,0.150 ,0.470 ,0.620 ,1.708 ,不分管,不分管,0.400 ,0.450 ,不分管,不分管,不分管,1.000 ,1.800 ,3.000 ,不分管,不分管,不分管,2.52,不分管,不分管,不分管,不分管,不分管,10
A2派出所,c22,不分管,2,1.0 ,不分管,不分管,不分管,0.5,0.75,不分管,2.350 ,3.300 ,1.403 ,1.000 ,1.000 ,1.000 ,不分管,0.300 ,0.760 ,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,3.000 ,0.99,0.98,0.84,不分管,0.89,1,0.46,1,1.82,10
A3派出所,c31,不分管,不分管,1.0 ,不分管,不分管,不分管,0.5,0.75,3.0 ,3.280 ,不分管,1.500 ,1.000 ,0.000 ,1.000 ,不分管,不分管,不分管,0.430 ,0.750 ,0.040 ,2.035 ,不分管,不分管,0.400 ,0.450 ,不分管,0.490 ,不分管,1.000 ,0.150 ,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,3.64
A4派出所,c41,不分管,不分管,1.0 ,不分管,不分管,不分管,不分管,不分管,不分管,不分管,3.520 ,1.500 ,1.000 ,0.000 ,1.000 ,1.972 ,0.300 ,1.500 ,0.090 ,0.270 ,0.080 ,2.481 ,不分管,0.750 ,0.300 ,0.450 ,0.410 ,不分管,不分管,1.000 ,0.150 ,3.000 ,1,1,0.74,不分管,0.97,1,0.5,1,不分管,8.15
A5派出所,c51,不分管,2,1.0 ,不分管,不分管,不分管,不分管,不分管,不分管,不分管,3.520 ,1.362 ,0.000 ,0.000 ,0.500 ,不分管,0.300 ,0.180 ,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,3.000 ,1,0.99,0.83,不分管,0.97,1,0.42,1,不分管,不分管
A5派出所,c52,不分管,不分管,不分管,2,2,0.5,1,0.75,3.5,2.540 ,不分管,1.362 ,0.000 ,0.000 ,0.500 ,不分管,不分管,不分管,0.190 ,0.260 ,0.210 ,2.117 ,不分管,不分管,0.200 ,0.450 ,0.440 ,不分管,2.000 ,1.000 ,0.150 ,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管
A6派出所,c61,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,3.790 ,0.819 ,1.000 ,0.000 ,1.000 ,不分管,不分管,0.190 ,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,3.000 ,1,0.97,1,不分管,0.98,1,0.5,1,不分管,不分管
A6派出所,c62,不分管,不分管,1.0 ,不分管,不分管,不分管,0.5,0,不分管,4.000 ,不分管,0.819 ,1.000 ,0.000 ,1.000 ,不分管,0.300 ,不分管,0.500 ,0.310 ,0.380 ,1.448 ,0.125 ,不分管,0.200 ,0.500 ,不分管,0.500 ,不分管,1.000 ,0.150 ,3.000 ,不分管,不分管,不分管,不分管,0.98,不分管,不分管,不分管,不分管,不分管
A7派出所,c71,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,1.500 ,1.000 ,0.000 ,1.000 ,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管
A7派出所,c72,0,2,1.0 ,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,1.500 ,1.000 ,0.000 ,1.000 ,不分管,不分管,0.650 ,0.100 ,0.210 ,0.100 ,1.425 ,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,1,0.98,0.4,不分管,不分管,1,0.5,1,不分管,8.92
A8派出所,c81,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,1.500 ,1.000 ,0.181 ,1.000 ,不分管,不分管,不分管,0.040 ,0.560 ,0.750 ,1.855 ,不分管,不分管,0.400 ,0.450 ,不分管,不分管,不分管,1.000 ,0.150 ,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,8.02
A8派出所,c82,不分管,2,1,不分管,不分管,不分管,不分管,不分管,不分管,不分管,3.410 ,1.500 ,1.000 ,0.181 ,1.000 ,1.924 ,0.300 ,1.320 ,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,1,0.98,0.99,不分管,0.92,1,0.43,1,1.89,8.02
A9派出所,c91,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
